t,y
0.0,0.0
0.040,0.331
0.080,0.612
0.120,0.850
0.160,1.050
0.200,1.217
0.240,1.357
0.280,1.474
0.320,1.570
0.360,1.649
0.400,1.713
0.440,1.765
0.480,1.805
0.520,1.837
0.560,1.860
0.600,1.877
0.640,1.889
0.680,1.895
0.720,1.898
0.760,1.897
0.800,1.893
0.840,1.887
0.880,1.879
0.920,1.870
0.960,1.859
1.0,1.847
1.039,1.834
1.080,1.820
1.120,1.807
1.159,1.792
1.200,1.778
1.240,1.763
1.279,1.748
1.320,1.733
1.360,1.718
1.399,1.704
1.440,1.689
1.480,1.675
1.520,1.661
1.559,1.647
1.600,1.633
1.640,1.620
1.679,1.607
1.720,1.594
1.760,1.581
1.799,1.569
1.840,1.557
1.880,1.545
1.919,1.534
1.960,1.523
2.0,1.512
2.039,1.502
2.079,1.491
2.119,1.481
2.160,1.472
2.200,1.462
2.240,1.453
2.279,1.444
2.319,1.435
2.359,1.427
2.400,1.419
2.440,1.411
2.480,1.403
2.520,1.396
2.559,1.388
2.599,1.381
2.640,1.374
2.680,1.368
2.720,1.361
2.760,1.355
2.799,1.349
2.839,1.343
2.880,1.337
2.920,1.331
2.960,1.326
3.0,1.321
3.039,1.316
3.079,1.311
3.119,1.306
3.160,1.301
3.200,1.297
3.240,1.292
3.279,1.288
3.319,1.284
3.359,1.280
3.400,1.276
3.440,1.272
3.480,1.268
3.520,1.265
3.559,1.261
3.599,1.258
3.640,1.255
3.680,1.251
3.720,1.248
3.760,1.245
3.799,1.242
3.839,1.240
3.880,1.237
3.920,1.234
3.960,1.232
4.0,1.229
4.039,1.227
4.079,1.224
4.119,1.222
4.159,1.220
4.199,1.218
4.239,1.216
4.280,1.214
4.320,1.212
4.360,1.210
4.400,1.208
4.440,1.206
4.480,1.204
4.520,1.203
4.559,1.201
4.599,1.200
4.639,1.198
4.679,1.196
4.719,1.195
4.760,1.194
4.800,1.192
4.840,1.191
4.880,1.190
4.920,1.188
4.960,1.187
5.0,1.186
5.039,1.185
5.079,1.184
5.119,1.183
5.159,1.182
5.199,1.181
5.239,1.180
5.280,1.179
5.320,1.178
5.360,1.177
5.400,1.176
5.440,1.175
5.480,1.174
5.520,1.174
5.559,1.173
5.599,1.172
5.639,1.171
5.679,1.171
5.719,1.170
5.760,1.169
5.800,1.169
5.840,1.168
5.880,1.167
5.920,1.167
5.960,1.166
6.0,1.166
6.039,1.165
6.079,1.165
6.119,1.164
6.159,1.164
6.199,1.163
6.239,1.163
6.280,1.162
6.320,1.162
6.360,1.161
6.400,1.161
6.440,1.161
6.480,1.160
6.520,1.160
6.559,1.160
6.599,1.159
6.639,1.159
6.679,1.158
6.719,1.158
6.760,1.158
6.800,1.158
6.840,1.157
6.880,1.157
6.920,1.157
6.960,1.156
