t,y
0.0,0.0
0.001,0.0
0.002,0.004
0.003,0.013
0.004,0.022
0.005,0.031
0.006,0.040
0.007,0.049
0.008,0.057
0.009,0.066
0.010,0.075
0.011,0.084
0.012,0.092
0.013,0.101
0.014,0.110
0.015,0.118
0.016,0.127
0.017,0.135
0.018,0.144
0.019,0.152
0.020,0.160
0.021,0.169
0.022,0.177
0.023,0.185
0.024,0.194
0.025,0.202
0.026,0.210
0.027,0.218
0.028,0.226
0.029,0.234
0.030,0.242
0.031,0.250
0.032,0.258
0.033,0.266
0.034,0.274
0.035,0.282
0.036,0.290
0.037,0.298
0.038,0.306
0.039,0.313
0.040,0.321
0.041,0.329
0.042,0.336
0.043,0.344
0.044,0.352
0.045,0.359
0.046,0.367
0.047,0.374
0.048,0.382
0.049,0.389
0.050,0.397
0.051,0.404
0.052,0.411
0.053,0.419
0.054,0.426
0.055,0.433
0.056,0.440
0.057,0.447
0.058,0.455
0.059,0.462
0.060,0.469
0.061,0.476
0.062,0.483
0.063,0.490
0.064,0.497
0.065,0.504
0.066,0.511
0.067,0.518
0.068,0.525
0.069,0.531
0.070,0.538
0.071,0.545
0.072,0.552
0.073,0.558
0.074,0.565
0.075,0.572
0.076,0.578
0.077,0.585
0.078,0.592
0.079,0.598
0.080,0.605
0.081,0.611
0.082,0.618
0.083,0.624
0.084,0.631
0.085,0.637
0.086,0.643
0.087,0.650
0.088,0.656
0.089,0.662
0.090,0.668
0.091,0.675
0.092,0.681
0.093,0.687
0.094,0.693
0.095,0.699
0.096,0.705
0.097,0.711
0.098,0.718
0.099,0.724
0.100,0.730
0.101,0.735
0.102,0.741
0.103,0.747
0.104,0.753
0.105,0.759
0.106,0.765
0.107,0.771
0.108,0.777
0.109,0.782
0.110,0.788
0.111,0.794
0.112,0.799
0.113,0.805
0.114,0.811
0.115,0.816
0.116,0.822
0.117,0.828
0.118,0.833
0.119,0.839
0.120,0.844
0.121,0.850
0.122,0.855
0.123,0.860
0.124,0.866
0.125,0.871
0.126,0.877
0.127,0.882
0.128,0.887
0.129,0.893
0.130,0.898
0.131,0.903
0.132,0.908
0.133,0.913
0.134,0.919
0.135,0.924
0.136,0.929
0.137,0.934
0.138,0.939
0.139,0.944
0.140,0.949
0.141,0.954
0.142,0.959
0.143,0.964
0.144,0.969
0.145,0.974
0.146,0.979
0.147,0.984
0.148,0.989
0.149,0.994
0.150,0.998
0.151,1.003
0.152,1.008
0.153,1.013
0.154,1.018
0.155,1.022
0.156,1.027
0.157,1.032
